,clean_tweet,label
0,تسارع وتيرة التطعيم ينعكس إيجابيا على تحقيق المناعة المجتمعية والعودة للحياة الطبيعية د عمر المطيري مسؤول التنظيم في مركز الكويت للتطعيم الكويت كوفيد نعم للتطعيم ,Pro-vaccine
1,مادام انت في الكويت تأكد ان اللي فيهم خير دائما أكثر من الساقطين ما في شك مسار الحرية لا للتطعيم الاجباري ,Anti-vaccine
2,أنا أخدت الجرعة الثالثة و انتو خليكن هيك مطعم جرعتين وارفض الثالثه BoosterVaccine boostershot Pfizer,Pro-vaccine
3,متى الجرعة الثانية ,Pro-vaccine
4,نصيحة للجميع اللقاح الان متوفر والحمدالله بادروا بالتطعيم وسجلوا لا نعلم غدا ماذا يحصل قد لا يتوفر قد يصبح بمقابل مادي قد تصبح مواعيده بعيدة وزحمة الكويت اخذ اللقاح لتعود الحياة,Pro-vaccine
5,في مثل هذا اليوم بدأ فيروس كورونا بالانتشار المحلي في الكويت الحل بتطعيم اكثرمن ٪ من الشعب نعم للتطعيم والله المستعان ,Pro-vaccine
7, قل لن يصيبنا إلا ما كتب الله لنا هو مولانا وعلى الله فليتوكل المؤمنون الله يجعلها سهاله و وقاية لي توكلنا على الله نعم للتطعيم ,Pro-vaccine
8,الي رئيس الحكومه ووزير الصحه مو هذا كلامكم ليش الحين تقولون اجباري اقول لا والف لا محنا مطعمين رتويت لتصل له لا للتطعيم الاجباري غير المطعمين ,Anti-vaccine
9,قصة قديمة على مر الأجيال، للتو فقط تعرفنا عليها رسم هزلي في عام م، يُصور إدوارد جينر يقوم بتطعيم الناس بمرض جدري البقر، فتخرج الابقار من اجسادهم لا للتطعيم الاجباري ,Anti-vaccine
10,اللهم لك الشكر والحمد بعد معاناة أيام وأشهر ساحة الارادة تعرضنا للتنمر والاستهزاء والقذف في أعراضنا وسمعتنا والتشكيك في وطنيتنا ودينا الحمدلله اليوم انتصرنا الحرية الطبية تنتصر مسار الحرية عالمنا الحر يتجلى صلاح الراشد أنور الرشيد أم يعقوب شعيب المويزري شكرا ,Anti-vaccine
11,قناة atv ترفع شعار نعم للتطعيم ,Pro-vaccine
12, المفروض مايخلطون بين المطعمين واللي مو مطعمين لازم يفصلونهم ويميزون المطعمين وبالنسبه للقرارات ما اعتبرها سذاجه اكثر حالات الوفاة انزلت خلال شهر بسبب التطعيم نعم للتطعيم نعم للتطعيم,Pro-vaccine
14,الصمت ابلغ من الكلام دام عدم أحترام إرادة الامة من قبل الرئيسين الشكوى لله لا للتطعيم الاجباري مجلس الوزراء مجلس الأمة مجلس الوزراء ,Anti-vaccine
15, فيه الصحة والعافية ان شاء الله نتشرف بخدمتكم أينما كنتم نعم للتطعيم ,Pro-vaccine
16,تناقضات المسؤولين عديدة وأخطرها حينما تراجعوا عن قرارهم بعدم تطعيم من هم دون ال سنة ومعرضين بذلك أبناءنا لتطعيمات تجريبية ومجهولة المكونات‼ والأنكى لما غرد أحد المناديب ومن المتاجرين بأرواح البشر وقال علينا أن نتوسع بعملية تطعيم الأطفال‼ ساحة الإرادة لا للتطعيم الاجباري,Anti-vaccine
18,لمن لم يطعم حقه أن يرفض التطعيم ولكن بالمقابل لا تنشر الوباء ابق في بيتك لا تخرج وانظر لهذا المقطع يوم الترويه ياسمين عبدالعزيز اقتحام ذوالحجة اخدود الحج صحار النقابة تنتفض يوم عرفة ,Pro-vaccine
19, نعم للتطعيم يا كلنا يا محد 🤍,Pro-vaccine
20,نبي ترجع الحياة لطبيعتها نعم للتطعيم بادر بالتطعيم نبي سلامتك ,Pro-vaccine
21,وأخيراً قريباً سيتم البدء بإعطاء تطعيمات كوڤيد للحوامل بعد موافقة لجنة الطعوم نعم للتطعيم ,Pro-vaccine
22,ابشركم اليوم جاءت رسالة التطعيم وذهبت وأخذت جرعة عشق ممزوجة بفايزر مع اشتياق وحب وأوصاني الدكتور بتكرار الجرعة بتاريخ / لحاجتك الماسة إلى عشق متجدد هزلت لا للتطعيم الإجباري احساس ببالي يقول,Pro-vaccine
23,بدال لا تحاربون المواطن بصحته حاربوا الفساد لا للتطعيم الاجباري,Anti-vaccine
25, اكو مصيبه اعظم وما طلعت الى الان اكو ناس طعمت ولما افحصوا مالقوا اجسام مضاده عندهم افهم يافهيم,Anti-vaccine
26,الرسول صلى الله عليه وسلم أفضل شخصية بالتاريخ بالمنظور الأسلامي والغربي لم تتفق عليه البشرية حينها فهذا الأمر الوحيد الذي يدفعني الي تقبل فكرة أن هناك بشر يحاربون فكرة التطعيم طبعا مع أختلاف التشبيه وكلي احترام لمن يرفع لواء ضد التطعيم نعم للتطعيم,Pro-vaccine
27, قبل لا تتحسف نعم للتطعيم اللهم ارفع عنا وعن العالم البلاء والوباء 🤲 عمل واخراج الأبطال ,Pro-vaccine
28,المهم ترا ليحين عرض التطعيم الجرعة الأولى : ٪ الجرعة الثانية : ٪ نعم للتطعيم ,Pro-vaccine
31, حكومه لا للتطعيم الاجباري مجلس الوزارء لا للتطعيم الاجباري الخميس الونيس كورونا تعوذوا من ابليس على هالقرارات🤦‍,Anti-vaccine
32,الأدله اللي ضد اللقاح واضحه وكثيره بس دامك قفلت عيونك وما تبي تشوف وقفلت اذونك وما تبي تسمع كمّلها وسكّر حلجك ولا تتكلم لا بارك الله بالمكابر التطعيم الاجباري صحتي أهم من رضاك علي,Anti-vaccine
33,هذا الهاشتاق يعتبر مثال حي لاهمية التعليم في المجتمعات، واثر الجهل وخطورته ودوره في تدمير دول بأكلملها لا للتطعيم الاجباري,Anti-vaccine
34,يتبع ومازال رأي الفساق في كل زمن أن الحرية هي حرية الاستمتاع وأن تقييد اللذة إفساد للذة صناعة مسار الحرية لا للتطعيم الاجباري,Anti-vaccine
35,اخونا المغرد شراع قبل اسبوع كان يسأل وزير الصحه عن جرعته الثانيه واليوم تحت رحمة الله بسبب اصابته بالكورونا وحالته خطره معالي وزير الصحه طبعا ربعكم والمقربين خذو الجرعه الثانيه وباجي الشعب عيال البطه السوده وين جرعتي الثانية ,Pro-vaccine
36,مليت من النقاشات والانتقادات والجدال اللي قاعد يصير بين الدكاتره وبين الناس عن اللقاح ومضاره وانه مؤامره وغيره من الكلام التطعيم على الاقل يقلل اصابتك بالكورونا بنسبه وانا اشوفها احسن من ولا شي وحتى اللي يصيبه يقلل اثاره لازم نوصل لمناعة المجتمع نعم للتطعيم ,Pro-vaccine
37,انحر غير المطعمين ,Pro-vaccine
38, لا للتطعيم الاجباري مرشاتنا تزهي كل بيت 🤩🤩 ,Anti-vaccine
39, أنا صناعة مسار الحرية,Anti-vaccine
40, نعم للتطعيم التطعيم يحفظ حياتك وحياة احبابك 🥺 ,Pro-vaccine
41,خرعوني بعد الاعتصام اخاف اللقاح صج فييييييه لا للتطعيم الاجباري,Anti-vaccine
42,يقول العلم : إن الخوف عكس الحب قوانين الكون متوازنة و باقية إلى أن يرث الله الارض ومن عليها هم سيزرعون بك الخوف و يهددون توازن ، تنفس وعش بحرية وانطلق ب مسار الحرية أَليْسَ اللَّهُ بِكَافٍ عَبْدَهُ وَيُخَوِّفُونَكَ بِالَّذِينَ مِن دُونِهِ الحب دائما منتصر ,Anti-vaccine
43, تم التطعيم اشكر وزارة الصحة وكل من يعمل فيها ولها من اجل صحة الكويت ، تنظيم راقي جدا ,Pro-vaccine
44,الزملاء الأطباء يقومون بحرب ضروس ضد مروجي الهراء شاهدوا الحوار الحمد لله التطعيم موجود بالكويت نعم للتطعيم ,Pro-vaccine
45, نعم للتطعيم الكويت لقاح كورونا نداء للكل طعموا تخفف الاعراض والي مايبي يطعم كيفه بس الي تحوشه كورونا لايروح المستشفى يحط جهاز اكسجين لايروح يذبحونه يفتحون له فتحات بظهره ويذبحونه الي بايع عمره ولا اهله يروح المستشفى ذبحتو الناس حسبي الله ونعم الوكيل,Pro-vaccine
46,الذي لم يأخذ التطعيم يحرم من السفر والدخول للمجمعات والسينما وحتى الحلاق ويأتيك أحد المحامين ويقول أن التطعيم مازال غير إجباري لا أدري الإجبار كيف يكون في عرف هذا القانوني الألمعي⁉ لا للتطعيم الاجباري,Anti-vaccine
48,مَنّ الله علينا بشفاء والدتنا من مرض كورونا أمي سبعينية كل أمراض أهل الكويت المزمنة فيها وأخذت جرعتين من تطعيم فايزر وأصابتها كورونا وتعبت لكن لم تدخل المستشفى واستحقت قلادة الذهب فتوكلت على الله وبذلت الاسباب وسمعت كلام المختصين برهم لاتضرهم طعموا كباركم ,Pro-vaccine
49,هذا كلام احد معارضي التطعيم وعلشان المرحوم كان يتنمر عليهم الحين نسبوا وفاته بالتطعيم عقليات تحتاج اعادة تأهيل لا للتطعيم الاجباري وانا اقول نعم للتطعيم ,Pro-vaccine
50, صباح الخير نتفائل اشوي بهالأجواء كافح دائماً من أجل قناعاتك حتى لو كان الجميع ضِدك و توكل على الله دائماً كلمات الكويت صباح الخير صباح السعاده لا للتطعيم الاجباري ,Anti-vaccine
51, الكويت أكثر من مليون تتطعموا سارعوا بالتطعيم هانت التطعيم آمن ويحميك بعد اللّه من الأعراض الشديدة والوفاة لا تسمع كلام سلبي توكّل على الله ,Pro-vaccine
52,وزارة الصحة الكويتيه بدأت اليوم بتوضيح حالة تطعيم المتوفين رحمهم الله من مضاعفات كورونا في إحصائيتها اليوميه نعم للتطعيم ,Pro-vaccine
