,0
0,لا لتطعيم الأطفال
1,التطعيم مؤامرة
2,لن تجبروني
3,شريحة الدجال
4,لن امتثل
5,اضرارالتطعيم
6,مناديب اللقاح
7,الحريه الطبيه تنتصر
8,شاركنا اضراراللقاح
9,حملة ضد التطعيمات
10,لن تجبروني
11,لا للتعديل الجيني البشري
12,لا لربط الدراسه بالتطعيم
13,لا لربط السفر بالتطعيم
14,لقاح الدجال
15,كذبه كورونا
16,لن تجبروني
17,نرفض التطعيم
18,اضرار التطعيم
19,الحريه الطبيه
20,من حقنا نرفض
21,لا للتطعيم الاجباري
22,المناديب
23,غير المطعمين
24,خدعة التطعيم
25,وهم كورونا
26,خدعة كورونا
27,لا للتعديل الجيني البشري
28,ما طعمت
29,مندوب
30,غير مطعمين منبوذين
31,مناديب دكاتره
32,الرافضين للتطعيم
33,مظاهرات ضد التطعيم
34,فيلم الكورونا
35,انتهت اللعبه
36,الدعاء علي وزير الصحه
37,نرفض هذا اللقاح
38,التطعيمات التجريبيه
39,ماطعمنا
40,ما طعمنا
41,انا مو مقتنعه
42,صلاح الراشد
43,ريان كول
44,وزير الكحه الدكتاتوري
45,توفت بسبب اللقاح
46,لا للتطعيم
47,مسرحيه كورونا
48,تقليص تعداد سكان العالم
49,اجبار علي التطعيم
50,اشك بفعاليه اللقاح
51,لا للدكتاتوريه الصحيه
52,ماخذيت التطعيم
53,مراح اطعم
54,نرفض التطعيم
55,ما راح اطعم
56,رافضا التطعيم
57,مؤامره التطعيم
58,نحن غير المطعمين
59,التطعيم خطر
60,مابي اطعم
61,مو غصب نطعم
62,ما نرضي بلقاحات
63,لست بحقل تجارب
64,لن نخضع
65,ماراح اتطعم
66,نصيحه لا اطعم
67,مو واثق بتطعيمكم
68,انتصرو غير المطعمين
69,الغير مطعمين يعانون
70,المتيمين بالتطعيمات التجريبيه
71,تمسكنا بقرارنا بعدم التطعيم
72,حسبي الله علي اللي يشجع علي هالسم
73,المستشفيات تضج بالمتطعمين المتضررين
74,الحماقه انك تاخذ ثلاث جرعات
75,التطعيم لم ينجح
76,مبرووك لغير المطعمين
77,كشفوا لعبه اللقاح
78,مات اشخاص من التطعيم
79,لا للتطعيم
80,ساحة الاراده
81,نرفض اللقاح
82,ما نرضى بلقاحات
83,مو من حقهم يجبرونا على اللقاح
84,انتهى مفعول تطعيمكم المغشوش
85,طز باللقاح
86,اللقاح غير معتمد وغير فعال
87,نعيش حرب عالمية لإبادة الجنس العربي
88,وضد التطعيم
89,لا اكراه بالتطعيم
90,فقدت الثقة بالطب والأطباء
91,فقدت الثقة بالطب
92,لن اطعم
93,ضد التطعيم الاجباري
94,ترفض التطعيم
95,ماخذيت التطعيم
96,رافضا التطعيم
97,نحن غير المطعمين
98, اللي يابولنا المتحور الهندي اهم اصلا المطعمين
99,ما نرضي بلقاحات
100,نصيحه لا اطعم
101,رفع القيود الجائره علي الغير مطعمين
102,اضراراللقاح
103,اثار التطعيم كان سيئ
104,المستشفيات تضج بالمتطعمين المتضررين
105,التطعيم لم ينجح
106,مات اشخاص من التطعيم
107,تصديق كذبه اللقاحات
108, تزيد جلطات القلب بين المطعمين
109,حسبي الله علي اللي يشجع علي هالسم
110,تمسكنا بقرارنا بعدم التطعيمنرفض التطعيم التجريبي
111,نرفض التطعيم الإجباري
112, المناديب والمهرجين
113,حقلا للتجارب
114,كفى تطعيمات تجريبية
115,لشركات تنتفع على حساب صحتهم
116,شوائب الضغط والقسوة والاستبداد ..
117,الدكتور صلاح الراشد
118,وصديقاتي الصامدين
119,يجبر شعبها على التطعيم
120, تتم معاملته معاملة رياض الأطفال
121, لا يضمنون سلامة اللقاح
122,يطبلون ل اللقاح الكاذب
123,بمطارده غير المطعمين
124,قمع للحريات الشخصية
125,مقابل صبرك على الظلم
126,الاكتفاء بجرعة واحده
127,في ناس ماتو و اهم مطعمي
128,خلاص .. اترك الناس تقرر
129, غير المطعمين
130, المكابرة بالخطا
131, من يسلب حقنا في الاختيار
132,وهم التطعيم
133,اللقاح فاشل
134,الجرعيتن غير فعالة
135,يرفض التطعيم
136,التطعيم لا يحمي
137,التطعيم قتل
138,الدول الأكثر تطعيم الإصابات عندهم في ازدياد
139,والأمراض اللي سببها التطعيم
140,لمقدسي اللقاح 
141,يشجع على هالسم
142,ندم على التطعيم
143,مهووس بموضوع التطعيم
144,ماراح نطعم
145,يجربونه فينا
146,تجبرونا على التطعيم
147,انجبروا على التطعيم
148,التطعيم مؤامره
149,ضد التطعيم
150,مو بسبب التطعيم
151,رافض التطعيم
152,التطعيمات التجريبية
153,لم يحميك التطعيم
