,0
0,تطعمنا
1,تم اخذ الثالثه
2,مع التطعيم
3,التطعيم يخفف اعراض كرون
4,تطعمنا الجرعه الثالثه
5,اخذت جرعتين اللقاح
6,من الانسب للجميع التطعيم
7,تم تطعيم الجرعه الثانيه
8,حملات تشويه اللقاح
9,تم تطعيم
10,الحل بالتطعيم
11,تلقيت جرعتين
12,ماخذه التطعيم
13,طعمووو خلصونا
14,نبادر لتلقي جرعتي تطعيم
15,مسجل بالتطعيم
16,اشاعات علي التطعيم
17,خلصنا الجرعتين
18,تم استكمال جرعات التطعيم
19,التطعيمات امنه
20,التطعيم يحفظ حياتك
21,طعم عشان تقدر
22,من الواعين والواثقين باهميه التطعيم
23,الرد علي اشاعات لقاحات كورونا
24,التطعيم هو السبيل للعوده للحياه الطبيعيه
25,اخذ موعد للتطعيم
26,سجلوا حق التطعيم
27, خذيت توني اول جرعه
28,التطعيم اثبت فاعليه كبيره
29,التطعيم امان لك
30,يالله سجلوا بالتطعيم
31,اللقاح لا يضعف المناعه اللقاح
32,التطعيم يحفظ حياتك
33,اخذت جرعتين
34,مناهضوا التطعيم و يدعون بانهم انتصروا
35,لا عزاء لرافضي التطعيم
36,طعمنا
37,طعموا
38,نعم للتطعيم
39,متى جرعتنا الثانية
40,متى بيكون موعد #الجرعة_الثانية
41,الاقبال المتزايد على التطعيم
42,أصحاب مشاريع المكملات الغذائية
43,انا طعمت
44,طعمت
45,العنايه مركزه جميعهم غير مطعمين
46,بروح اطعم الثالث
47,قصص وهمية بخصوص اللقاح
48,ضروري ياخذ التنشيطية
49,تلقيت لقاح كورونا
50,ننطر الجرعه
51,اخذ الجرعة الاولى
52,جرعتنا الأولى من التطعيم الوقائي
53,تم استكمال الجرعة الاولى
54,كملت أسبوع بعد الجرعه
55,لقاح اكسفورد يمنح مناعة
56,أعراض الجرعة الأولى
57,لأخذ اللقاح
58,الجرعه الاولى تعطي مناعه
59,خليطعمون
60,مواعيد التطعيم
61,خناخذ التطعيم
62,المواطن اللي أخذ اللقاح
63,لقاح اكسفورد وفايزر يعطون مناعة
64,اخذت اول جرعة
65,اللي خذوا التطعيم
66,اللي خذوا الجرعه الاولىبعد أخذ الجرعة الأولىصباح التطعيمالقصد الأساسي من التطعيم
67,تقليل المضاعفات والوفاةوسجلت للتطعيملايطوفكم التطعيمأخذ التطعيمأخذ الجرعةتينت الجرعهتم بحمد الله التطعيمتاخذ التطعيمعقب التطعيمأعراض الجرعة الثانيهخذيت الجرعة الاولىخذت التطعيماول يوم لقاحتلقيت اليوم الجرعة الأولىاخذت التطعيمتمت الجرعة الأولىقمت بالتطعيم
