,0
0,نعم للتطعيم
1,تم التطعيم
2,تطعيم كورونا
3,وين جرعتي الثانية
4,نبي الجرعة الثانية
5,نعم للتطعيم الاجباري
6,بالتطعيم نقدر
7,نعم للتطعیم
8,التطعيم واجب وطني
9,انا طعمت
10,مركز الكويت للتطعيم
11,بالتطعيم قدرنا
12,vaccinated
13,خصم التطعيم
14,انا طعمت وانت
15,أنا طعمت
16,اخذ اللقاح لتعود الحياة
17,اللقاح طريقنا للتعافي
18,اخترت التطعيم
19,فايزر جرعتين
20,بادر بالتطعيم
21,وين جرعتي الثانيه
22,طعموا من تحبون
23,هلا بالجرعة الثالثة
24,نعم للتطعيم وألف نعم للتطعيم
25,تطعمنا بنسافر
26,طعموا
27,طعموا ومن تحبون
28,مع التطعيم
29,نبي فايزر جرعتين
30,إلى اللقاح'
31,التطعيم وقايه
32,الجرعة الثانية
